asset_id,date,name,end_date,ann_date,change_reason,source_id,available_at,decision_time
300013.SZ,20250506,新宁物流,,20250430,其他,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
300211.SZ,20250506,*ST亿通,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
003004.SZ,20250506,*ST声迅,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
839680.BJ,20250506,ST广道,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600107.SH,20250506,ST尔雅,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600165.SH,20250506,ST宁科,,20250430,撤销*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600190.SH,20250506,*ST锦港,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600193.SH,20250506,*ST创兴,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600200.SH,20250506,*ST苏吴,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600238.SH,20250506,*ST椰岛,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600360.SH,20250506,*ST华微,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600599.SH,20250506,*ST熊猫,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600715.SH,20250506,文投控股,,20250430,其他,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600892.SH,20250506,*ST大晟,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
688511.SH,20250506,*ST天微,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
688282.SH,20250506,理工导航,,20250430,撤销*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
688184.SH,20250506,ST帕瓦,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
688646.SH,20250506,ST逸飞,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
300326.SZ,20250506,ST凯利,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
300379.SZ,20250506,*ST东通,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603389.SH,20250506,*ST亚振,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603843.SH,20250506,*ST正平,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603789.SH,20250506,*ST星农,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603608.SH,20250506,天创时尚,,20250430,其他,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
300472.SZ,20250506,*ST新元,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603007.SH,20250506,*ST花王,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603398.SH,20250506,*ST沐邦,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603388.SH,20250506,*ST元成,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603721.SH,20250506,*ST天择,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
603879.SH,20250506,永悦科技,,20250430,撤销ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
920305.BJ,20250506,*ST云创,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
920680.BJ,20250506,*ST广道,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
600130.SH,20250430,*ST波导,,20250429,*ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
600265.SH,20250430,ST景谷,,20250429,ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
600381.SH,20250430,*ST春天,,20250429,*ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
600608.SH,20250430,*ST沪科,,20250429,*ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
600525.SH,20250430,ST长园,,20250429,ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
605199.SH,20250430,ST葫芦娃,,20250429,ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
688287.SH,20250430,*ST观典,,20250429,*ST,tushare,20250429T16:00:00+08:00,20250429T09:00:00+08:00
